date,content,reaction_count,top_react,comment_count,title,day_diff
20/03,"['ĐẬP TAN TIN ĐỒN, CHÚ NINH & ANH ÂM CHÍNH THỨC CÓ MẶT TẠI ĐẠI SỰ KIỆN PEPSI!🤘🤘🤘', '🔥🔥Hot hơn bao giờ hết, cặp đôi chú Ninh - anh Âm đã sẵn sàng tham dự tại Đại sự kiện PEPSI - THIRSTY FOR MORE. Bạn thì sao?', '👌""Săn"" ngay vé tham dự sự kiện Pepsi, biết đâu có duyên gặp ngay ""idol giới trẻ” Ninh - Âm:📍...']",5168,"['Like', 'Heart', 'Wow']",582,"ĐẬP TAN TIN ĐỒN, CHÚ NINH & ANH ÂM CHÍNH THỨC CÓ MẶT TẠI ĐẠI SỰ KIỆN PEPSI!🤘🤘🤘",4.0
21/03,"['TRỜI SÀI GÒN RỰC SÁNG CÙNG PEPSI - HẸN 2 NGÀY NỮA TẠI ĐẠI SỰ KIỆN THẾ KỶ🤘', 'Một lời mời cực đại trên sky led lớn nhất Sài thành đã được gửi đi, báo hiệu chỉ còn 48h nữa, đại sự kiện PEPSI - THIRSTY FOR MORE chính thức bắt đầu. Dù đang ở bất cứ đâu, bạn có cảm nhận được một “cơn khát” cháy bỏng đang...']",615,"['Like', 'Heart']",34,TRỜI SÀI GÒN RỰC SÁNG CÙNG PEPSI - HẸN 2 NGÀY NỮA TẠI ĐẠI SỰ KIỆN THẾ KỶ🤘,1.0
21/03,"['CẦN CHUẨN BỊ NHỮNG GÌĐỂ SẴN SÀNG THỎA ĐAM MÊ CÙNG PEPSI?', '💙Chỉ còn 2 ngày nữa, Đại Sự Kiện PEPSI - THIRSTY FOR MORE sẽ chính thức mở màn. Để có những trải nghiệm bung xoã nhất, Pepsi đã tổng hợp một cẩm nang “thỏa đam mê” bên dưới cho các fan:', '🔈16h: Mở cổng check-in khu vực vé Fan Zone🔈19h:...']",278,"['Like', 'Heart']",62,CẦN CHUẨN BỊ NHỮNG GÌĐỂ SẴN SÀNG THỎA ĐAM MÊ CÙNG PEPSI?,0.0
22/03,"['DÀN SAO SẴN SÀNG ""ON THE MIC"", HẸN 1 NGÀY NỮA KHÔNG THIẾU AI!', '⚡Chưa đầy 24h nữa thôi, sân khấu Đại Nhạc Hội PEPSI - THIRSTY FOR MORE sẽ cuồng nhiệt đỉnh điểm với những màn trình diễn bùng nổ!', 'Các thần tượng và Pepsi đã sẵn sàng. Còn Pepsi fan đã sẵn sàng ĐÃ CƠN KHÁT, THOẢ ĐAM MÊ vào ngày mai chưa???...']",328,"['Like', 'Heart']",32,"DÀN SAO SẴN SÀNG ""ON THE MIC"", HẸN 1 NGÀY NỮA KHÔNG THIẾU AI!",1.0
22/03,"['BỘ ĐÔI DJ ""ĐÃI"" BẠN BEAT CHÁY', '🤘Chào đón ""bàn tay ma thuật"" của BNUTS và MR.T - hai DJ cực ngầu của Đại Nhạc Hội PEPSI - THIRSTY FOR MORE.', '🔥Bộ đôi DJ đã sẵn sàng lên nhạc với những siêu phẩm vàng ""làng"" beat. Còn bạn, đã sẵn sàng ĐÃ CƠN KHÁT, THOẢ ĐAM MÊ đêm 23.03 này chưa?', 'Đại sự kiện PEPSI -...']",145,"['Like', 'Heart']",5,"BỘ ĐÔI DJ ""ĐÃI"" BẠN BEAT CHÁY",0.0
23/03,"['""ĐỘT NHẬP"" KHÔNG GIAN CỰC CHẤT TẠI PEPSI - THIRSTY FOR MORE', 'Trăm nghe không bằng một thấy! Những hình ảnh đầu tiên tại PEPSI - THIRSTY FOR MORE chính thức hé lộ, với vô số điều bất ngờ chờ bạn trải nghiệm:', '🔥HERITAGE CORNER: Triển lãm di sản đầy cảm hứng🔥PHOTOBOOTH: Dàn cảnh cool ngầu, tha hồ pose...']",493,"['Like', 'Heart', 'Wow']",26,"""ĐỘT NHẬP"" KHÔNG GIAN CỰC CHẤT TẠI PEPSI - THIRSTY FOR MORE",1.0
23/03,"['THẦN THÁI NGÚT NGÀN CỦA DÀN SAO ĐI ""ĐÃA""', '⚡Nóng: ""Cơn khát"" từ PEPSI - THIRSTY FOR MORE đã bung tràn khắp mọi nơi, lan tới cả dàn sao đình đám! Rất nhiều gương mặt nổi bật đã thiên biến vạn hoá với những bộ cánh đúng ""đãa""!', '💙Còn các Pepsi fan thì sao, khi nào bạn sẽ đến 35 Lê Lợi để ĐÃ CƠN KHÁT,...']",2264,"['Heart', 'Like']",70,"THẦN THÁI NGÚT NGÀN CỦA DÀN SAO ĐI ""ĐÃA""",0.0
23/03,"['CHUYỆN GÌ ĐÂY: SUBOI BẤT NGỜ ""ON STAGE"" BẬT ĐAM MÊ CÙNG BIỂN FAN VỠ ÒA😱', '💥Chị đại Suboi từ dưới khán đài bước lên như một ""vị thần"", làm cho Pepsi fan phải ngơ ngẩn! Tay cầm mic, ""tượng đài"" làng rap Suboi và những bản HIT mới nhất cực ""căng"" khiến cho sân khấu PEPSI - THIRSTY FOR MORE cháy hơn bao...']",428,"['Like', 'Heart']",14,"CHUYỆN GÌ ĐÂY: SUBOI BẤT NGỜ ""ON STAGE"" BẬT ĐAM MÊ CÙNG BIỂN FAN VỠ ÒA😱",0.0
23/03,"['BIỂN NGƯỜI CUỒNG NHIỆT GIỮA PHỐ ĐI BỘ, HƯỚNG VỀ ĐẠI SỰ KIỆN BÙNG NỔ', '🔥Ngay lúc này: Đại Nhạc Hội PEPSI - THIRSTY FOR MORE đã khiến con phố sầm uất nhất Sài thành ngập trong ""cơn khát"" âm nhạc!!! Shout out to hàng vạn Pepsi fan đã dành trọn đêm thứ Bảy để cuồng nhiệt cùng Pepsi.', 'Nếu hôm nay các...']",413,"['Like', 'Heart']",8,"BIỂN NGƯỜI CUỒNG NHIỆT GIỮA PHỐ ĐI BỘ, HƯỚNG VỀ ĐẠI SỰ KIỆN BÙNG NỔ",0.0
23/03,"['TẬN HƯỞNG ĐẠI NHẠC HỘI CỰC ""ĐÃA"" ĐẾN PHÚT CUỐISẴN SÀNG TRẢI NGHIỆM KHÔNG GIỚI HẠN!', '️🎉Một đêm Đại Nhạc Hội cực ""bùng cháy"" và mãn nhãn! Shout out cho dàn nghệ sĩ, đội ngũ Pepsi team, hàng ngàn Pepsi fan cùng hàng triệu người hâm mộ theo dõi từ xa.', '🙌""Cơn khát"" âm nhạc đã được thoả! Giờ là lúc...']",2121,"['Like', 'Heart']",39,"TẬN HƯỞNG ĐẠI NHẠC HỘI CỰC ""ĐÃA"" ĐẾN PHÚT CUỐISẴN SÀNG TRẢI NGHIỆM KHÔNG GIỚI HẠN!",0.0
24/03,"['CHÁY LẠI NHỮNG KHOẢNH KHẮC CỰC ĐÃA TẠI ĐẠI NHẠC HỘI PEPSI - THIRSTY FOR MORE', '🔥Nhịp beat vẫn vang trong đầu, lửa từ sân khấu vẫn nóng đến tận hôm nay! Cùng nhìn lại những phút giây bùng nổ nhất của Đại Nhạc Hội 23.03 đêm qua - nơi các Pepsi fan đã thực sự ĐÃ CƠN KHÁT, THOẢ ĐAM MÊ với âm nhạc!', 'Vẫn...']",446,"['Like', 'Heart']",12,CHÁY LẠI NHỮNG KHOẢNH KHẮC CỰC ĐÃA TẠI ĐẠI NHẠC HỘI PEPSI - THIRSTY FOR MORE,1.0
25/03,"['ĐÊM CỦA NHỮNG TÊN TUỔI HÀNG ĐẦUMANG ĐAM MÊ ""THIÊU ĐỐT"" CẢ SÂN KHẤU!', '🔥Đêm thứ Bảy bùng cháy và vỡ òa cảm xúc cùng Đại Nhạc Hội PEPSI - THIRSTY FOR MORE! Những ngôi sao đình đám, những giai điệu huyền thoại, những bản hit lần đầu được mang lên sân khấu, cùng sức nóng và niềm đam mê vô cực từ biển...']",492,"['Like', 'Heart']",18,"ĐÊM CỦA NHỮNG TÊN TUỔI HÀNG ĐẦUMANG ĐAM MÊ ""THIÊU ĐỐT"" CẢ SÂN KHẤU!",1.0
26/03,[],76,"['Like', 'Heart']",0,,1.0
26/03,"['PEPSI BẬT CẢM HỨNG THỜI TRANGTHỔI BÙNG LÊN VẠN ""CƠN KHÁT""', '⚡Một trong những màn trình diễn chấn động và mãn nhãn nhất trên sân khấu của Đại Nhạc Hội PEPSI - THIRSTY FOR MORE, với sự xuất hiện vedette bất ngờ từ Tóc Tiên!', '🔥Màn trình diễn thời trang với những item cực chất, mang đậm cá tính Pepsi,...']",597,"['Like', 'Heart']",8,"PEPSI BẬT CẢM HỨNG THỜI TRANGTHỔI BÙNG LÊN VẠN ""CƠN KHÁT""",0.0
27/03,"['THOẢ “CƠN KHÁT"" CỦA ĐA GIÁC QUANTẠI KHU TRẢI NGHIỆM KHÔNG GIỚI HẠN', '⚡Đại sự kiện PEPSI - THIRSTY FOR MORE đã “thiết đãi"" các Pepsi fan với vô vàn những trải nghiệm đa giác quan thật đã mắt, đã tai, đã khát:', '🤘Đắm mình trong hành trình di sản 30 năm đầy đam mê của Pepsi tại HERITAGE CORNER🤘Bật...']",194,"['Like', 'Heart']",5,"THOẢ “CƠN KHÁT"" CỦA ĐA GIÁC QUANTẠI KHU TRẢI NGHIỆM KHÔNG GIỚI HẠN",1.0
27/03,"['CHÀO DIỆN MẠO MỚICÙNG PEPSI ĐÃ CƠN KHÁT, THỎA ĐAM MÊ', '🤟Vẫn là thương hiệu mang tính biểu tượng và phá cách, thừa hưởng di sản của từng thế hệ đầy khát khao, nay tươi mới hơn, trẻ trung và đam mê hơn.', '🔥Một Pepsi đại diện cho thế hệ mới luôn khao khát sự hứng khởi và thử thách trong cuộc sống,...']",312,"['Like', 'Heart']",13,"CHÀO DIỆN MẠO MỚICÙNG PEPSI ĐÃ CƠN KHÁT, THỎA ĐAM MÊ",0.0
28/03,"['PEPSI PHỦ SÓNG DIỆN MẠO MỚILAN TOẢ HỨNG KHỞI ĐI KHẮP NƠI', '💙Nóng: Diện mạo mới của Pepsi đã rực lên khắp Việt Nam! Từ khu phố sầm uất len vào ngõ nhỏ, từ đại lộ đến cửa hàng thân quen, tất cả đều được khoác lên ""chiếc áo mới"" với logo và sắc xanh bùng nhịp đam mê của Pepsi!', '🔥Cùng nhận diện mới,...']",2684,"['Like', 'Heart']",53,PEPSI PHỦ SÓNG DIỆN MẠO MỚILAN TOẢ HỨNG KHỞI ĐI KHẮP NƠI,1.0
