date,content,reaction_count,top_react,comment_count,title,day_diff
05/02,"['ĐÓN TẾT THÌN RÔM RẢ, CÓ NGAY COMBO FANTAAAAAAAA', '👋Tạm “say bye” những “deadline” hay việc nhà bề bộn, Tết đến nơi rồi thì mình bày tiệc với combo Fanta siêu rôm rả thôiiii🥳🍊🍇Bạn chọn “bỉ ngạn” nào cho chiếc kèo xôm tụ cùng Fanta? Bình luận liền tay và lên kèo ngay cùng đồng bọn nào💃🕺', '#...']",69,"['Like', 'Heart']",1,"ĐÓN TẾT THÌN RÔM RẢ, CÓ NGAY COMBO FANTAAAAAAAA",
06/02,"['[MINIGAME] BÌNH LUẬN CHÚC TẾT ĐỘC LẠ, NHẬN QUÀ RÔM RẢ', 'Tết tết tết tết đến rồi… thì chúc Tết độc lạ để rinh quà rôm rả đi bạn eiii🤘Tham gia ngay với 2 bước đơn giản:👉Bước 1: Bình luận lời chúc độc lạ và hề hước theo cách của bạn + một con số may mắn từ 000 - 999.👉Bước 2: Tag ngay 3 người bạn...']",4104,"['Like', 'Heart', 'Wow']",4631,"[MINIGAME] BÌNH LUẬN CHÚC TẾT ĐỘC LẠ, NHẬN QUÀ RÔM RẢ",1.0
25/03,"['FANTA BÙNG NỔ DIỆN MẠO MỚI, VẪN CỨ LÀ NGON NHỨC SNACKKKKKK', '💥Bùng nổ sắc màu cùng đủ vị trái cây thơm ngon từ những lon FANTA DIỆN MẠO MỚI. Vị ngon không đổi, nhưng trải nghiệm càng tuyệt vời hơn! Ực miếng Fanta, nhai miếng bánh rộp rộp, ngon nhức snackkkk🤤', 'Bạn đã săn được lon Fanta mới chưa😝', '#...']",5651,"['Like', 'Heart']",161,"FANTA BÙNG NỔ DIỆN MẠO MỚI, VẪN CỨ LÀ NGON NHỨC SNACKKKKKK",47.0
25/03,[],60,"['Like', 'Heart']",11,,0.0
25/03,[],26,"['Like', 'Heart']",0,,0.0
01/04,"['💥TIN HÓT HÒN HỌT💥FANTA TRỞ THÀNH “NHÀ TÀI TRỢ KIM CƯƠNG” CHO CUỘC THI SÁNG TẠO HÀNG ĐẦU VIỆT NAM', 'Với tinh thần là người bạn đồng hành cùng các chiến thần chịu chơi sáng tạo, ở đâu có sáng tạo, ở đó có Fanta.Fanta quyết chiến trở thành “nhà tài trợ kim cương” cho cuộc thi Vietnam Young Lions -...']",917,"['Like', 'Heart', 'Angry']",22,💥TIN HÓT HÒN HỌT💥FANTA TRỞ THÀNH “NHÀ TÀI TRỢ KIM CƯƠNG” CHO CUỘC THI SÁNG TẠO HÀNG ĐẦU VIỆT NAM,7.0
23/04,"['TAN HỌC LA CÀ, QUẸO LỰA NGAY COMBO ĂN VẶT UỐNG FANTA👇', '❤️COMBO MẶN MÀ: Tan học hóng drama thêm xíu mắm muối cho mặn mà, có ngay Fanta Xá Xị x Snack Mực💜COMBO NGỌT NGÀO: Tan học tỉnh tò, tặng crush Fanta Nho x Snack Bắp💛COMBO CHUA CAY: Tan học dò bài, thấy sai quá trời sai thì tiêu sầu với...']",4575,"['Like', 'Heart']",66,"TAN HỌC LA CÀ, QUẸO LỰA NGAY COMBO ĂN VẶT UỐNG FANTA👇",22.0
